target,term,Exact,Inferred
Black,$T_i$,1.7183631376594726,0.4920281767845154
Black,$\Gamma_i$,5.232606865421088,0.014890864491462708
Black,$\nu_{iii}$,-32.69229678119011,-8.84265422821045
Black,$\nu_{iij}$,3.8468487648737466,5.609452247619629
Black,$\nu_{ijj}$,9.856062799745882,4.795828819274902
Black,$k_{ii}$,17.4193447103632,-4.411052227020264
Black,$k_{ij}$,-9.496633097666733,-8.215336799621582
White,$T_i$,0.3755539904546736,0.3152158558368683
White,$\Gamma_i$,2.4616512730183318,1.4379903078079224
White,$\nu_{iii}$,-6.40074002350609,-2.2253432273864746
White,$\nu_{iij}$,-18.90620845706837,-5.379482746124268
White,$\nu_{ijj}$,-18.60873560375226,-2.700094699859619
White,$k_{ii}$,7.311385761355476,2.5836617946624756
White,$k_{ij}$,15.983193416357306,5.173745632171631
